Start Day,Day,Micro. #,Infect.,Pollen,# of bees,Hours Feeding,Nectar consumed,Nectar per bee,Nectar per bee per hour,Pollen consumed,Pollen corrected for evp.,Pollen per bee,Pollen per bee per hour,Corrected pollen per bee per hour
5/19/2015,1,1,I,S,5,0,2.9203,0.58406,.,0.0886,0.072313333,0.014462667,.,.
5/19/2015,2,1,I,S,5,23.88541667,3.4447,0.68894,0.028843541,0.1113,0.095013333,0.019002667,0.000795576,0.000795576
5/19/2015,3,1,I,S,4,24.01388889,3.0418,0.76045,0.031667091,0.1396,0.123313333,0.030828333,0.001283771,0.001283771
5/19/2015,7,1,I,S,4,.,2.4366,0.60915,.,0.0652,0.048913333,0.012228333,.,.
5/19/2015,8,1,I,S,4,24.30208333,3.1013,0.775325,0.031903643,0.0809,0.064613333,0.016153333,0.000664689,0.000664689
5/19/2015,9,1,I,S,4,23.61111111,3.8402,0.96005,0.040660941,0.0626,0.046313333,0.011578333,0.000490376,0.000490376
5/19/2015,10,1,I,S,4,24.46736111,3.6479,0.911975,0.037273125,0.0975,0.081213333,0.020303333,0.000829813,0.000829813
5/19/2015,14,1,I,S,4,.,3.1429,0.785725,.,0.1122,0.095913333,0.023978333,.,.
5/19/2015,15,1,I,S,4,23.93888889,3.4743,0.868575,0.036283012,0.1058,0.089513333,0.022378333,0.000934811,0.000934811
5/19/2015,16,1,I,S,4,24.00694444,3.9239,0.980975,0.040862135,0.1328,0.116513333,0.029128333,0.001213329,0.001213329
5/19/2015,17,1,I,S,4,24.01736111,4.2106,1.05265,0.043828712,0.1135,0.097213333,0.024303333,0.001011907,0.001011907
5/19/2015,22,1,I,S,3,.,3.215,1.071666667,.,0.111,0.094713333,0.031571111,.,.
5/19/2015,23,1,I,S,3,23.97361111,3.0651,1.0217,0.042617693,0.112,0.095713333,0.031904444,0.001330815,0.001330815
5/19/2015,24,1,I,S,3,24.02430556,2.9114,0.970466667,0.040395202,0.1228,0.106513333,0.035504444,0.001477855,0.001477855
5/19/2015,28,1,I,S,3,.,3.1722,1.0574,.,0.1233,0.107013333,0.035671111,.,.
5/19/2015,29,1,I,S,3,24.05486111,3.2702,1.090066667,0.045315858,.,.,.,.,.
5/19/2015,30,1,I,S,3,23.51527778,2.9776,0.992533333,0.042208021,0.063,0.046713333,0.015571111,0.00066217,0.00066217
5/19/2015,31,1,I,S,3,24.0125,3.6683,1.222766667,0.050922089,0.1088,0.092513333,0.030837778,0.001284239,0.001284239
5/19/2015,32,1,I,S,3,24.05277778,3.0485,1.016166667,0.042247373,0.128,0.111713333,0.037237778,0.00154817,0.00154817
5/19/2015,36,1,I,S,3,.,2.6371,0.879033333,.,0.1077,0.091413333,0.030471111,.,.
5/19/2015,37,1,I,S,3,23.94930556,3.2414,1.080466667,0.045114739,0.0959,0.079613333,0.026537778,0.001108081,0.001108081
5/19/2015,38,1,I,S,3,24.06041667,2.0305,0.676833333,0.028130574,0.0397,0.023413333,0.007804444,0.000324369,0.000324369
5/19/2015,1,2,I,B,5,.,4.23,0.846,.,0.0712,0.040966667,0.008193333,.,.
