BeeID,Microcol,colony,Died,Infection,Pollen,_TYPE_,_FREQ_,wingmm,daysinfect,totcrith,bigbee,smallbee,dimorph
I,1,JML-1,yes,I,S,1,5,2.795,2,,3.12,2.535,0.2307692308
II,1,JML-1,yes,I,S,63,1,2.86,21,,3.12,2.535,0.2307692308
III,1,JML-1,no,I,S,63,1,2.535,38,0,3.12,2.535,0.2307692308
IV,1,JML-1,no,I,S,63,1,3.12,38,0,3.12,2.535,0.2307692308
V,1,JML-1,no,I,S,63,1,3.055,38,,3.12,2.535,0.2307692308
I,2,JML-1,yes,I,B,1,5,2.99,2,,2.99,2.275,0.3142857143
II,2,JML-1,yes,I,B,63,1,2.99,8,,2.99,2.275,0.3142857143
III,2,JML-1,yes,I,B,63,1,2.275,29,,2.99,2.275,0.3142857143
IV,2,JML-1,no,I,B,63,1,2.47,41,1400,2.99,2.275,0.3142857143
V,2,JML-1,no,I,B,63,1,2.665,41,2100,2.99,2.275,0.3142857143
II,5,JML-1,yes,I,S,1,4,2.925,2,,2.925,2.47,0.1842105263
III,5,JML-1,no,I,S,63,1,2.665,43,50,2.925,2.47,0.1842105263
IV,5,JML-1,no,I,S,63,1,2.47,43,50,2.925,2.47,0.1842105263
V,5,JML-1,no,I,S,63,1,2.795,43,,2.925,2.47,0.1842105263
I,6,JML-1,yes,I,B,1,5,2.925,6,,2.99,2.665,0.1219512195
II,6,JML-1,yes,I,B,63,1,2.73,34,,2.99,2.665,0.1219512195
III,6,JML-1,no,I,B,63,1,2.99,41,3300,2.99,2.665,0.1219512195
IV,6,JML-1,no,I,B,63,1,2.665,41,1250,2.99,2.665,0.1219512195
V,6,JML-1,no,I,B,63,1,2.73,41,2200,2.99,2.665,0.1219512195
I,9,JML-1,yes,I,S,1,5,2.535,10,,2.86,2.535,0.1282051282
II,9,JML-1,yes,I,S,63,1,2.535,31,,2.86,2.535,0.1282051282
III,9,JML-1,no,I,S,63,2,2.665,37,0,2.86,2.535,0.1282051282
IV,9,JML-1,no,I,S,63,2,2.86,37,0,2.86,2.535,0.1282051282
V,9,JML-1,no,I,S,63,1,2.86,37,,2.86,2.535,0.1282051282
II,10,JML-1,yes,I,B,1,4,2.665,21,,2.925,2.665,0.0975609756
III,10,JML-1,yes,I,B,63,1,2.73,36,,2.925,2.665,0.0975609756
IV,10,JML-1,no,I,B,63,1,2.665,38,2800,2.925,2.665,0.0975609756
V,10,JML-1,no,I,B,63,1,2.925,38,,2.925,2.665,0.0975609756
II,13,JML-1,yes,I,S,1,4,2.925,21,,2.925,2.535,0.1538461538
III,13,JML-1,yes,I,S,63,1,2.6,23,,2.925,2.535,0.1538461538
IV,13,JML-1,no,I,S,63,1,2.86,41,0,2.925,2.535,0.1538461538
V,13,JML-1,no,I,S,63,1,2.535,41,0,2.925,2.535,0.1538461538
II,14,JML-1,yes,I,B,1,5,2.795,21,,2.925,2.47,0.1842105263
III,14,JML-1,yes,I,B,63,1,2.47,27,,2.925,2.47,0.1842105263
IV,14,JML-1,yes,I,B,63,1,2.73,35,,2.925,2.47,0.1842105263
V,14,JML-1,no,I,B,63,1,2.925,35,1150,2.925,2.47,0.1842105263
V,14,JML-1,yes,I,B,63,1,2.925,35,,2.925,2.47,0.1842105263
