Microcolony,Innoculationdate,Dateegg1,Time2egg,Laideggs,Eggbi,Numbereggs,Infection,Pollen
1,5/19/15,5/22/15,3,yes,1,,I,S
2,5/19/15,5/25/15,6,yes,1,,I,B
3,5/19/15,5/28/15,9,yes,1,,U,S
4,5/19/15,6/2/15,14,yes,1,,U,B
5,5/19/15,5/27/15,8,yes,1,,I,S
6,5/19/15,6/2/15,14,yes,1,,I,B
7,5/19/15,5/25/15,6,yes,1,,U,S
8,5/19/15,6/16/15,28,yes,1,,U,B
9,5/19/15,5/21/15,2,yes,1,,I,S
10,5/19/15,5/22/15,3,yes,1,,I,B
11,5/19/15,5/28/15,9,yes,1,,U,S
12,5/19/15,6/2/15,14,yes,1,,U,B
13,5/19/15,5/25/15,6,yes,1,,I,S
14,5/19/15,5/25/15,6,yes,1,,I,B
15,5/19/15,5/27/15,8,yes,1,,U,S
16,5/19/15,5/25/15,6,yes,1,,U,B
17,5/19/15,5/27/15,8,yes,1,,I,S
18,5/19/15,5/25/15,6,yes,1,,I,B
19,5/19/15,5/28/15,9,yes,1,,U,S
20,5/19/15,5/22/15,3,yes,1,,U,B
21,5/20/15,5/27/15,7,yes,1,,I,S
22,5/20/15,5/26/15,6,yes,1,,I,B
23,5/20/15,5/27/15,7,yes,1,,U,S
24,5/20/15,5/22/15,2,yes,1,,U,B
25,5/20/15,5/25/15,5,yes,1,,I,S
26,5/20/15,5/29/15,9,yes,1,,I,B
27,5/20/15,5/25/15,5,yes,1,,U,S
28,5/20/15,5/26/15,6,yes,1,,U,B
29,5/20/15,5/26/15,6,yes,1,,I,S
30,5/20/15,5/22/15,2,yes,1,,I,B
31,5/20/15,5/26/15,6,yes,1,,U,S
32,5/20/15,5/29/15,9,yes,1,,U,B
33,5/20/15,5/26/15,6,yes,1,,I,S
34,5/20/15,6/9/15,20,yes,1,,I,B
35,5/20/15,5/28/15,8,yes,1,,U,S
36,5/20/15,5/28/15,8,yes,1,,U,B
37,5/20/15,5/25/15,5,yes,1,,I,S
38,5/20/15,6/9/15,20,yes,1,,I,B
39,5/20/15,5/27/15,7,yes,1,,U,S
40,5/20/15,5/27/15,7,yes,1,,U,B
41,7/20/15,7/31/15,11,yes,1,,I,S
42,7/20/15,8/8/15,19,yes,1,,I,B
43,7/20/15,8/5/15,16,yes,1,,U,S
44,7/20/15,8/18/15,29,yes,1,,U,B
45,7/20/15,7/31/15,11,yes,1,,I,S
46,7/20/15,7/27/15,7,yes,1,,I,B
47,7/20/15,7/31/15,11,yes,1,,U,S
48,7/20/15,8/31/15,42,no,0,,U,B
49,7/20/15,8/17/15,28,yes,1,,I,S
50,7/20/15,7/26/15,6,no,0,,I,B
51,7/20/15,8/7/15,18,yes,1,,U,S
52,7/20/15,7/27/15,7,yes,1,,U,B
53,7/20/15,7/31/15,11,yes,1,,I,S
54,7/20/15,7/25/15,5,no,0,,I,B
55,7/20/15,7/30/15,10,yes,1,,U,S
56,7/20/15,8/25/15,36,yes,1,,U,B
57,7/20/15,7/30/15,10,yes,1,,I,S
58,7/20/15,7/30/15,10,yes,1,,I,B
59,7/20/15,7/23/15,3,yes,1,,U,S
60,7/20/15,7/30/15,10,yes,1,,U,B
61,8/7/15,8/17/15,10,yes,1,,I,S
62,8/7/15,8/17/15,10,yes,1,,I,B
63,8/7/15,8/17/15,10,yes,1,,U,S
64,8/7/15,8/25/15,18,yes,1,,U,B
65,8/7/15,8/17/15,10,yes,1,,I,S
66,8/7/15,8/19/15,12,yes,1,,I,B
67,8/7/15,8/11/15,4,yes,1,,U,S
68,8/7/15,8/17/15,10,yes,1,,U,B
69,8/7/15,8/17/15,10,yes,1,,I,S
70,8/7/15,8/17/15,10,yes,1,,I,B
71,8/7/15,9/1/15,25,no,0,,U,S
72,8/7/15,8/17/15,10,yes,1,,U,B
73,8/7/15,8/18/15,11,yes,1,,I,S
74,8/7/15,8/14/15,7,yes,1,,I,B
75,8/7/15,8/17/15,10,yes,1,,U,S
76,8/7/15,8/18/15,11,yes,1,,U,B
77,8/7/15,8/17/15,10,yes,1,,I,S
78,8/7/15,8/17/15,10,yes,1,,I,B
79,8/7/15,8/17/15,10,yes,1,,U,S
80,8/7/15,8/27/15,20,yes,1,,U,B
