Bee ID,MC,died during trial?,infect treat,pollen treat,innoc. Date,worker death,days infect,crithidia count,marginal cell,
I,1,yes,I,S,19-May,21-May,2,,4.3,
II,1,yes,I,S,19-May,9-Jun,21,,4.4,
III,1,no,I,S,19-May,26-Jun,38,0,3.9,
IV,1,no,I,S,19-May,26-Jun,38,0,4.8,
V,1,no,I,S,19-May,26-Jun,38,,4.7,
I,2,yes,I,B,19-May,21-May,2,,4.6,
II,2,yes,I,B,19-May,27-May,8,,4.6,
III,2,yes,I,B,19-May,17-Jun,29,,3.5,
IV,2,no,I,B,19-May,29-Jun,41,28,3.8,
V,2,no,I,B,19-May,29-Jun,41,42,4.1,
I,3,yes,U,S,19-May,20-May,1,,,no wing data
II,3,no,U,S,19-May,2-Jul,44,0,4.1,
III,3,no,U,S,19-May,2-Jul,44,0,3.6,
IV,3,no,U,S,19-May,2-Jul,44,0,4,
V,3,no,U,S,19-May,2-Jul,44,,3.8,
I,4,yes,U,B,19-May,9-Jun,21,,5,
II,4,yes,U,B,19-May,26-Jun,38,,4.2,
III,4,no,U,B,19-May,6-Jul,48,0,4.3,
IV,4,no,U,B,19-May,7-Jul,49,0,4.4,
V,4,no,U,B,19-May,6-Jul,48,,4.2,
I,5,yes,I,S,19-May,20-May,1,,,no wing data
II,5,yes,I,S,19-May,21-May,2,,4.5,
III,5,no,I,S,19-May,1-Jul,43,1,4.1,
IV,5,no,I,S,19-May,1-Jul,43,1,3.8,
V,5,no,I,S,19-May,1-Jul,43,,4.3,
I,6,yes,I,B,19-May,25-May,6,,4.5,
II,6,yes,I,B,19-May,22-Jun,34,,4.2,
III,6,no,I,B,19-May,29-Jun,41,66,4.6,
IV,6,no ,I,B,19-May,29-Jun,41,25,4.1,
V,6,no,I,B,19-May,29-Jun,41,44,4.2,
I,7,yes,U,S,19-May,9-Jun,21,,3.9,
II,7,yes,U,S,19-May,16-Jun,28,,4.3,
III,7,yes,U,S,19-May,22-Jun,34,,4.2,
IV,7,no,U,S,19-May,29-Jun,41,0,3.9,
V,7,no,U,S,19-May,29-Jun,41,,4.7,
