Bee ID,MC,died during trial?,infect treat,pollen treat,innoc. Date,worker death,days infect,crithidia count,marginal cell,,
I,1,yes,I,S,5/19,5/21,2,,4.30,,
II,1,yes,I,S,5/19,6/9,21,,4.40,,
III,1,no,I,S,5/19,6/26,38,0,3.90,,
IV,1,no,I,S,5/19,6/26,38,0,4.80,,
V,1,no,I,S,5/19,6/26,38,,4.70,,
I,2,yes,I,B,5/19,5/21,2,,4.60,,
II,2,yes,I,B,5/19,5/27,8,,4.60,,
III,2,yes,I,B,5/19,6/17,29,,3.50,,
IV,2,no,I,B,5/19,6/29,41,28,3.80,,
V,2,no,I,B,5/19,6/29,41,42,4.10,,
I,3,yes,U,S,5/19,5/20,1,,,no wing data,
II,3,no,U,S,5/19,7/2,44,0,4.10,,
III,3,no,U,S,5/19,7/2,44,0,3.60,,
IV,3,no,U,S,5/19,7/2,44,0,4.00,,
V,3,no,U,S,5/19,7/2,44,,3.80,,
I,4,yes,U,B,5/19,6/9,21,,5.00,,
II,4,yes,U,B,5/19,6/26,38,,4.20,,
III,4,no,U,B,5/19,7/6,48,0,4.30,,
IV,4,no,U,B,5/19,7/7,49,0,4.40,,
V,4,no,U,B,5/19,7/6,48,,4.20,,
I,5,yes,I,S,5/19,5/20,1,,,no wing data,
II,5,yes,I,S,5/19,5/21,2,,4.50,,
III,5,no,I,S,5/19,7/1,43,1,4.10,,
IV,5,no,I,S,5/19,7/1,43,1,3.80,,
V,5,no,I,S,5/19,7/1,43,,4.30,,
I,6,yes,I,B,5/19,5/25,6,,4.50,,
II,6,yes,I,B,5/19,6/22,34,,4.20,,
III,6,no,I,B,5/19,6/29,41,66,4.60,,
IV,6,no ,I,B,5/19,6/29,41,25,4.10,,
V,6,no,I,B,5/19,6/29,41,44,4.20,,
I,7,yes,U,S,5/19,6/9,21,,3.90,,
II,7,yes,U,S,5/19,6/16,28,,4.30,,
III,7,yes,U,S,5/19,6/22,34,,4.20,,
IV,7,no,U,S,5/19,6/29,41,0,3.90,,
V,7,no,U,S,5/19,6/29,41,,4.70,,
I,8,yes,U,B,5/19,5/20,1,,,no wing data,
II,8,no,U,B,5/19,7/23,65,0,3.90,,
III,8,no ,U,B,5/19,7/23,65,0,4.00,,
IV,8,no ,U,B,5/19,7/23,65,0,3.60,,
V,8,no ,U,B,5/19,7/23,65,0,4.30,,
I,9,yes,I,S,5/19,5/29,10,,3.90,,
II,9,yes,I,S,5/19,6/19,31,,3.90,,
III,9,no,I,S,5/19,6/25,37,0,4.10,,
IV,9,no,I,S,5/19,6/25,37,0,4.40,,
V,9,no,I,S,5/19,6/25,37,,4.40,,
I,10,yes,I,B,5/19,5/20,1,,,no wing data,
II,10,yes,I,B,5/19,6/9,21,,4.10,,
III,10,yes,I,B,5/19,6/24,36,,4.20,,
IV,10,no,I,B,5/19,6/26,38,56,4.10,,
V,10,no,I,B,5/19,6/26,38,,4.50,,
I,11,yes,U,S,5/19,5/20,1,,,no wing data,
II,11,no,U,S,5/19,7/2,44,0,3.40,,
III,11,no,U,S,5/19,7/2,44,0,4.20,,
IV,11,no,U,S,5/19,7/2,44,0,4.00,,
V,11,no,U,S,5/19,7/2,44,,3.90,,
I,12,yes,U,B,5/19,5/22,3,,4.30,,
II,12,yes,U,B,5/19,6/15,27,,3.70,,
III,12,yes,U,B,5/19,6/18,30,,3.70,,
IV,12,no,U,B,5/19,7/7,49,70,3.80,,
V,12,no,U,B,5/19,7/7,49,83,4.50,,
I,13,yes,I,S,5/19,5/20,1,,,no wing data,
II,13,yes,I,S,5/19,6/9,21,,4.50,,
III,13,yes,I,S,5/19,6/11,23,,4.00,,
IV,13,no,I,S,5/19,6/29,41,0,4.40,,
V,13,no,I,S,5/19,6/29,41,0,3.90,,
I,15,yes,U,S,5/19,5/22,3,,4.20,,
II,15,yes,U,S,5/19,6/15,27,,3.90,,
III,15,no,U,S,5/19,7/1,43,0,4.50,,
IV,15,no,U,S,5/19,7/1,43,0,4.00,,
V,15,no,U,S,5/19,7/1,43,,4.50,,
I,17,yes,I,S,5/19,5/25,6,,4.10,,
II,17,yes,I,S,5/19,6/2,14,,4.60,,
III,17,no,I,S,5/19,7/1,43,,3.90,,
IV,17,no,I,S,5/19,7/1,43,26,4.30,,
V,17,no,I,S,5/19,7/1,43,1,4.10,,
I,18,yes,I,B,5/19,6/4,16,,4.00,,
II,18,yes,I,B,5/19,6/9,21,,4.20,,
III,18,yes,I,B,5/19,6/24,36,,4.20,,
IV,18,no,I,B,5/19,6/29,41,12,3.90,,
V,18,no,I,B,5/19,6/29,41,21,4.00,,
I,19,yes,U,S,5/19,5/21,2,,4.20,,
II,19,yes,U,S,5/19,6/11,23,,3.70,,
III,19,no,U,S,5/19,7/3,45,0,4.20,,
IV,19,no,U,S,5/19,7/3,45,0,4.30,,
V,19,no,U,S,5/19,7/3,45,,4.00,,
I,20,yes,U,B,5/19,5/28,9,,3.90,,
II,20,no,U,B,5/19,6/26,38,0,4.00,,
III,20,no,U,B,5/19,6/26,38,0,4.10,,
IV,20,no,U,B,5/19,6/26,38,0,3.80,,
V,20,no,U,B,5/19,6/26,38,,4.70,,
I,21,yes,I,S,5/20,5/22,2,,4.20,,
II,21,no,I,S,5/20,7/1,42,5,3.90,,
III,21,no,I,S,5/20,7/1,42,2,3.90,,
IV,21,no,I,S,5/20,7/1,42,0,4.10,,
V,21,no,I,S,5/20,7/1,42,,4.10,,
