Coordinates,Farm,SunArea,MeanCrithidia
42.377286 -72.529639,SUN,68,36.9
"42.456350, -72.569182",WAR,0,22.7
"42.406810, -72.526438",SIM,152,20.2
"42.329592, -72.524529",HAM,80,7.3
"42.338315, -72.596645",AST,298,12.1
"42.363182, -72.567819",STN,67,1.4
"42.432167, -72.588629",ENT,234,23.1
"42.446110, -72.563866",TKG,0,30.7
"42.376504, -72.488757",MHF,50,10.1
"42.477292, -72.581112",USD,0,16.8
"42.251798, -72.542216",DNG,518,8.5
"42.548840, -72.564037",ATL,0,92.7
"42.315060, -72.474468",BRK,142,27.7
"42.336916, -72.686652",CAC,42,39.5
"42.456222, -72.594249",PAS,4335,14.9
"42.618821, -72.555133",JOE,0,21.7
"42.416136, -72.620934",GOL,232,31.3
"42.648075, -72.487181",UPN,4,20
"42.402326, -72.525971",UAL,811,8.5
"42.442057, -72.551238",LAU,480,0.8
"42.40735, -72.54137",QUE,0,14.2
"42.25915, -72.43363",SUM,33,12.9
