Farm	SunArea	MeanCrithidia	X	Y
SUN	68	36.9	42.377286	-72.529639
WAR	0	22.7	42.45635	-72.569182
SIM	152	20.2	42.40681	-72.526438
HAM	80	7.3	42.329592	-72.524529
AST	298	12.1	42.338315	-72.596645
STN	67	1.4	42.363182	-72.567819
ENT	234	23.1	42.432167	-72.588629
TKG	0	30.7	42.44611	-72.563866
MHF	50	10.1	42.376504	-72.488757
USD	0	16.8	42.477292	-72.581112
DNG	518	8.5	42.251798	-72.542216
ATL	0	92.7	42.54884	-72.564037
BRK	142	27.7	42.31506	-72.474468
CAC	42	39.5	42.336916	-72.686652
PAS	4335	14.9	42.456222	-72.594249
JOE	0	21.7	42.618821	-72.555133
GOL	232	31.3	42.416136	-72.620934
UPN	4	20	42.648075	-72.487181
UAL	811	8.5	42.402326	-72.525971
LAU	480	0.8	42.442057	-72.551238
QUE	0	14.2	42.40735	-72.54137
SUM	33	12.9	42.25915	-72.43363
