BeeID,ColonyID,Date,Treatment,Count,WingSize
1,JGA,15336,SUN,0.00,2.30
2,JGA,15336,BUCK,0.00,NA
3,JGA,15336,SUN,0.00,2.30
4,JGA,15336,BUCK,78.00,2.10
5,JGA,15336,SUN,0.00,1.95
6,JGA,15336,BUCK,0.00,2.10
7,JGA,15336,SUN,0.00,2.05
8,JGA,15336,BUCK,1.00,2.10
9,JGA,15336,SUN,0.00,2.40
10,JGA,15336,BUCK,0.00,2.20
11,JGA,15336,SUN,0.00,2.15
12,JGA,15336,BUCK,0.00,1.95
13,JGA,15336,SUN,0.00,2.30
14,JGA,15336,BUCK,4.00,2.20
15,JGA,15336,SUN,0.00,2.00
16,JGA,15336,BUCK,0.00,2.10
17,JGA,15336,SUN,0.00,2.00
18,JGA,15336,BUCK,27.00,1.90
19,JGA,15336,SUN,0.00,1.70
20,JGA,15336,BUCK,24.00,2.10
21,JGA,15336,SUN,0.00,2.40
22,JGA,15336,BUCK,12.00,2.20
23,JGA,15336,SUN,0.00,2.20
24,JGA,15336,BUCK,0.00,1.80
25,JGA,15336,SUN,0.00,2.40
26,JGB,15336,BUCK,0.00,2.20
27,JGB,15336,SUN,0.00,2.55
28,JGB,15336,BUCK,0.00,2.00
29,JGB,15336,SUN,0.00,2.10
30,JGB,15336,BUCK,61.00,2.10
31,JGB,15336,SUN,0.00,1.80
32,JGB,15336,BUCK,1.00,1.95
33,JGB,15336,SUN,0.00,1.80
34,JGB,15336,BUCK,0.00,1.95
35,JGB,15336,SUN,0.00,2.20
36,JGB,15336,BUCK,0.00,2.05
37,JGB,15336,SUN,0.00,2.00
38,JGB,15336,BUCK,0.00,2.10
39,JGB,15336,SUN,0.00,2.25
40,JGB,15336,BUCK,0.00,1.95
41,JGB,15336,SUN,0.00,2.35
42,JGB,15336,BUCK,2.00,2.05
43,JGB,15336,SUN,0.00,2.15
44,JGB,15336,BUCK,1.00,1.95
45,JGB,15336,SUN,0.00,2.20
46,JGB,15336,BUCK,41.00,1.95
47,JGB,15336,SUN,0.00,1.90
48,JGB,15336,BUCK,0.00,2.55
49,JGB,15336,SUN,0.00,2.40
50,JGB,15336,BUCK,32.00,2.30
51,JGC,15336,SUN,0.00,2.20
52,JGC,15336,BUCK,0.00,2.30
53,JGC,15336,SUN,0.00,1.90
54,JGC,15336,BUCK,12.00,2.20
55,JGC,15336,SUN,0.00,2.10
56,JGC,15336,BUCK,0.00,2.20
57,JGC,15336,SUN,0.00,1.85
58,JGC,15336,BUCK,0.00,2.35
59,JGC,15336,SUN,0.00,2.15
60,JGC,15336,BUCK,2.00,2.40
61,JGC,15336,SUN,0.00,2.00
62,JGC,15336,BUCK,0.00,2.25
63,JGC,15336,SUN,0.00,1.80
64,JGC,15336,BUCK,2.00,1.90
65,JGC,15336,SUN,0.00,2.05
66,JGC,15336,BUCK,0.00,2.30
67,JGC,15336,SUN,0.00,2.45
68,JGC,15336,BUCK,39.00,2.00
