BeeID,ColonyID,InocDate,Treatment,GutCount,WingSize,GutColor
91,JGD,02/02/16,SUN,0,2.7,Yellow
92,JGD,02/02/16,BUCK,275,3,Clear
93,JGD,02/02/16,KMIX,38,2.7,Yellow
94,JGD,02/02/16,SUN,0,2.8,Yellow
95,JGD,02/02/16,BUCK,6,2.9,Clear
96,JGD,02/02/16,KMIX,208,2.6,Yellow
97,JGD,02/02/16,SUN,0,2.7,Yellow
98,JGD,02/02/16,BUCK,288,2.7,Yellow
99,JGD,02/02/16,KMIX,200,2.6,Yellow
100,JGD,02/02/16,SUN,30,2.7,Yellow
101,JGD,02/02/16,BUCK,143,2.9,Yellow
102,JGD,02/02/16,KMIX,0,2.7,Yellow
103,JGD,02/02/16,SUN,0,2.6,Clear
104,JGD,02/02/16,BUCK,0,2.5,Clear
105,JGD,02/02/16,KMIX,45,2.75,Yellow
106,JGD,02/02/16,SUN,0,2.75,Yellow
107,JGD,02/02/16,BUCK,174,2.55,Yellow
108,JGF,02/02/16,KMIX,157,2.9,Clear
109,JGF,02/02/16,SUN,65,2.95,Yellow
110,JGF,02/02/16,BUCK,115,2.45,Yellow
111,JGF,02/02/16,KMIX,170,2.75,Yellow
112,JGF,02/02/16,SUN,16,2.75,Clear
113,JGF,02/02/16,BUCK,75,2.8,Clear
114,JGF,02/02/16,KMIX,33,2.5,Clear
115,JGF,02/02/16,SUN,0,2.9,Yellow
116,JGF,02/02/16,BUCK,61,2.6,Clear
117,JGF,02/02/16,KMIX,1,2.95,Clear
118,JGF,02/02/16,SUN,20,2.75,Clear
119,JGF,02/02/16,BUCK,72,2.9,Yellow
120,JGF,02/02/16,KMIX,32,2.8,Yellow
121,JGF,02/02/16,SUN,0,2.7,Yellow
122,JGF,02/02/16,BUCK,227,2.5,Clear
123,JGF,02/02/16,KMIX,79,2.6,Yellow
124,JGF,02/02/16,SUN,0,2.8,Yellow
125,JGE,02/02/16,BUCK,13,3.05,Clear
126,JGE,02/02/16,KMIX,240,2.7,Yellow
127,JGE,02/02/16,SUN,2,2.2,Clear
128,JGE,02/02/16,BUCK,273,3.1,Yellow
129,JGE,02/02/16,KMIX,48,2.15,Yellow
130,JGE,02/02/16,SUN,0,2.6,Yellow
131,JGE,02/02/16,BUCK,0,2.7,Clear
132,JGE,02/02/16,KMIX,40,2.5,Clear
133,JGE,02/02/16,SUN,26,3.3,Yellow
134,JGE,02/02/16,BUCK,178,3.1,Yellow
135,JGE,02/02/16,KMIX,15,2.9,Yellow
136,JGE,02/02/16,SUN,5,3,Yellow
137,JGE,02/02/16,BUCK,97,3,Clear
138,JGE,02/02/16,KMIX,83,2.5,Clear
139,JGE,02/02/16,SUN,18,3.05,Yellow
