BeeID,ColonyID,Treatment,NetPollenConsumption,CrithidiaCount,Count ,WingSize,InocDate,CallowMass
18,JG 1,Buck,0.05003336,109,109,1.52,9,0.0811
19,JG 1,Rape,0.07694363,11,11,1.48,10,0.0843
20,JG 1,Mix,0.08913109,0,0,1.64,11,0.1233
21,JG 1,Sun,0.03309825,0,0,1.52,12,0.0957
22,JG 1,Buck,0.04614391,19,19,1.88,13,0.1677
23,JG 1,Rape,0.08004029,NA,NA,NA,NA,NA
24,JG 1,Mix,0.09554082,0,0,1.84,14,0.1835
25,JG 1,Sun,0.01322875,0,0,1.32,15,0.0602
26,JG 1,Buck,0.05177557,0,0,1.84,15,0.1816
27,JG 1,Rape,0.09476862,34,34,1.76,16,0.1554
28,JG 1,Mix,0.0959656,4,4,1.76,17,0.1831
29,JG 1,Sun,0.032849,0,0,1.72,17,0.1367
31,JG 1,Rape,0.07493457,NA,NA,NA,NA,NA
32,JG 1,Mix,0.08880897,0,0,1.6,17,0.1177
33,JG 1,Sun,0.03946325,1,1,1.68,18,0.1243
34,JG 1,Buck,0.04437858,18,18,1.76,18,0.1549
35,JG 1,Rape,0.07754045,0,0,1.64,18,0.1242
36,JG 1,Mix,0.10415764,0,0,1.84,18,0.1967
37,JG 1,Sun,0.01976675,0,0,1.68,18,0.1479
38,JG 1,Buck,0.04255681,12,12,1.68,19,0.1384
39,JG 1,Rape,0.07800823,67,67,1.68,20,0.155
40,JG 1,Mix,0.0959895,7,7,1.44,23,0.087
41,JG 1,Sun,0.02159025,2,2,1.68,24,0.1534
42,JG 1,Buck,0.03736703,58,58,1.56,24,0.1119
52,JG 1,Mix,0.09203289,0,0,1.6,27,0.128
53,JG 1,Sun,0.01697875,12,12,1.6,27,0.1174
54,JG 1,Buck,0.03579199,NA,NA,NA,NA,NA
55,JG 1,Rape,0.07913183,NA,NA,NA,NA,NA
56,JG 1,Mix,0.10383024,NA,NA,NA,NA,NA
57,JG 1,Sun,0.04447975,0,0,1.76,30,0.1495
59,JG 1,Rape,0.08774502,18,18,1.84,30,0.178
60,JG 1,Mix,0.09916116,9,9,1.84,31,0.1959
66,JG 2,Buck,0.03476317,150,150,1.6,11,0.0953
67,JG 2,Rape,0.07220215,42,42,1.44,11,0.0794
68,JG 2,Mix,0.09585764,57,57,1.6,12,0.1058
69,JG 2,Sun,0.02494375,1,1,1.52,14,0.0847
70,JG 2,Buck,0.03414927,42,42,1.68,15,0.1049
71,JG 2,Rape,0.07893747,3,3,1.92,18,0.1732
125,JG 3,Sun,0.02538475,0,0,1.52,9,0.094
126,JG 3,Buck,0.04828076,400,400,1.76,10,0.1519
127,JG 3,Rape,0.07887144,0,0,1.76,10,0.139
128,JG 3,Mix,0.09093111,66,66,1.64,10,0.1246
129,JG 3,Sun,0.03101375,0,0,1.68,10,0.1324
130,JG 3,Buck,0.034627,232,232,1.52,10,0.1046
131,JG 3,Rape,0.08361093,51,51,1.52,10,0.1109
132,JG 3,Mix,0.09310901,112,112,1.6,11,0.1206
133,JG 3,Sun,0.02864275,0,0,1.44,11,0.0962
134,JG 3,Buck,0.0445466,7,7,1.6,12,0.112
135,JG 3,Rape,0.08772714,20,20,1.68,12,0.1642
136,JG 3,Mix,0.09992577,20,20,1.52,12,0.11
137,JG 3,Sun,0.01738775,7,7,1.52,13,0.1076
