Bee         ID,Colony ID,Treatment,Crithidia Count,Log Crithidia count
20,JG 1,Mix,0,0
24,JG 1,Mix,0,0
32,JG 1,Mix,0,0
36,JG 1,Mix,0,0
52,JG 1,Mix,0,0
140,JG 3,Mix,0,0
152,JG 3,Mix,0,0
168,JG 3,Mix,0,0
200,JG 4,Mix,0,0
204,JG 4,Mix,0,0
316,JG 5,Mix,0,0
324,JG 5,Mix,0,0
336,JG 5,Mix,0,0
376,JG 7,Mix,0,0
432,JG 8,Mix,0,0
4,JG 1,Mix,1,0.693147181
148,JG 3,Mix,1,0.693147181
188,JG 4,Mix,1,0.693147181
196,JG 4,Mix,1,0.693147181
212,JG 4,Mix,1,0.693147181
308,JG 5,Mix,1,0.693147181
320,JG 5,Mix,1,0.693147181
488,JG 9,Mix,1,0.693147181
64,JG 2,Mix,2,1.098612289
364,JG 7,Mix,2,1.098612289
368,JG 7,Mix,2,1.098612289
492,JG 9,Mix,2,1.098612289
156,JG 3,Mix,3,1.386294361
332,JG 5,Mix,3,1.386294361
28,JG 1,Mix,4,1.609437912
436,JG 8,Mix,4,1.609437912
40,JG 1,Mix,7,2.079441542
388,JG 7,Mix,7,2.079441542
428,JG 8,Mix,7,2.079441542
484,JG 9,Mix,7,2.079441542
304,JG 5,Mix,8,2.197224577
60,JG 1,Mix,9,2.302585093
216,JG 4,Mix,10,2.397895273
244,JG 1,Mix,10,2.397895273
192,JG 4,Mix,11,2.48490665
44,JG 1,Mix,16,2.833213344
312,JG 5,Mix,19,2.995732274
372,JG 7,Mix,19,2.995732274
136,JG 3,Mix,20,3.044522438
144,JG 3,Mix,21,3.091042453
424,JG 8,Mix,21,3.091042453
160,JG 3,Mix,31,3.465735903
124,JG 3,Mix,36,3.610917913
220,JG 4,Mix,45,3.828641396
68,JG 2,Mix,57,4.060443011
8,JG 1,Mix,60,4.110873864
128,JG 3,Mix,66,4.204692619
132,JG 3,Mix,112,4.727387819
440,JG 8,Mix,159,5.075173815
1000,EXP,Expected,73.33333333,4.308559483
1001,EXP,Expected,9.666666667,2.367123614
1002,EXP,Expected,22,3.135494216
1003,EXP,Expected,91.33333333,4.525405217
1004,EXP,Expected,125,4.836281907
1005,EXP,Expected,16.33333333,2.85263143
1006,EXP,Expected,24.66666667,3.245193133
1007,EXP,Expected,79,4.382026635
1008,EXP,Expected,4,1.609437912
1009,EXP,Expected,205.3333333,5.329492984
1010,EXP,Expected,58.66666667,4.088773517
1011,EXP,Expected,20.66666667,3.075774981
1012,EXP,Expected,17.66666667,2.926739402
1013,EXP,Expected,88.66666667,4.496099091
1014,EXP,Expected,1.333333333,0.84729786
1015,EXP,Expected,3.333333333,1.466337069
1016,EXP,Expected,26.66666667,3.320228319
1017,EXP,Expected,122,4.812184355
1018,EXP,Expected,21,3.091042453
1019,EXP,Expected,42.33333333,3.768922162
1020,EXP,Expected,186.3333333,5.232889561
1021,EXP,Expected,63.33333333,4.1640779
1022,EXP,Expected,33.33333333,3.536116699
1023,EXP,Expected,0.666666667,0.510825624
1024,EXP,Expected,0,0
1025,EXP,Expected,29,3.401197382
1026,EXP,Expected,16,2.833213344
1027,EXP,Expected,20,3.044522438
1028,EXP,Expected,5.666666667,1.897119985
1029,EXP,Expected,17,2.890371758
1030,EXP,Expected,62.66666667,4.153661139
1031,EXP,Expected,56.33333333,4.048882188
1032,EXP,Expected,52,3.970291914
1033,EXP,Expected,52.66666667,3.982792076
1034,EXP,Expected,57,4.060443011
1035,EXP,Expected,53,3.988984047
1036,EXP,Expected,101,4.624972813
1037,EXP,Expected,145.3333333,4.985887124
1038,EXP,Expected,90.33333333,4.514515818
1039,EXP,Expected,19.33333333,3.012261575
1040,EXP,Expected,82,4.418840608
1041,EXP,Expected,32.33333333,3.506557897
1042,EXP,Expected,69.66666667,4.257973986
1043,EXP,Expected,11.33333333,2.512305624
1044,EXP,Expected,15.33333333,2.793208009
1045,EXP,Expected,37,3.63758616
1046,EXP,Expected,123.3333333,4.822966131
1047,EXP,Expected,22.66666667,3.164067589
1048,EXP,Expected,51.33333333,3.957633517
1049,EXP,Expected,147.6666667,5.001706664
1050,EXP,Expected,25,3.258096538
1051,EXP,Expected,21,3.091042453
1052,EXP,Expected,16.66666667,2.871679625
1053,EXP,Expected,110.6666667,4.715518243
