Bee        ID,Colony.ID,Treatment,Date.Emerged,Callow.Mass,Inoc.Date,Inoc. Day of Week,DOD Weight (g),Dead.Before.Dissect,Time.To.Death
1,JG 1,Sun,30-Dec,0.15,01-Jan,Thur,0.15,0,7
3,JG 1,Rape,30-Dec,0.1005,01-Jan,Thur,.,1,3
4,JG 1,Mix,30-Dec,0.1509,01-Jan,Thur,0.123,0,7
5,JG 1,Sun,30-Dec,0.097,01-Jan,Thur,0.0905,0,7
6,JG 1,Buck,31-Dec,0.1605,02-Jan,Fri,0.137,0,7
7,JG 1,Rape,31-Dec,0.093,02-Jan,Fri,0.1035,0,7
8,JG 1,Mix,31-Dec,0.0723,02-Jan,Fri,0.0836,0,7
9,JG 1,Sun,31-Dec,0.0594,02-Jan,Fri,.,1,1
10,JG 1,Buck,31-Dec,0.0506,02-Jan,Fri,.,1,0
11,JG 1,Rape,31-Dec,0.096,02-Jan,Fri,.,1,1
12,JG 1,Mix,01-Jan,0.0546,03-Jan,Sat,.,1,0
13,JG 1,Sun,01-Jan,0.0936,03-Jan,Sat,0.093,0,7
14,JG 1,Buck,01-Jan,0.0571,03-Jan,Sat,.,1,6
15,JG 1,Rape,01-Jan,0.0597,03-Jan,Sat,0.062,0,7
16,JG 1,Mix,02-Jan,0.0685,04-Jan,Sun,.,1,1
17,JG 1,Sun,04-Jan,0.0427,06-Jan,Tue,0.0577,0,7
18,JG 1,Buck,07-Jan,0.0811,09-Jan,Fri,0.1066,0,7
19,JG 1,Rape,08-Jan,0.0843,10-Jan,Sat,0.0764,0,7
20,JG 1,Mix,09-Jan,0.1233,11-Jan,Sun,0.1351,0,7
21,JG 1,Sun,10-Jan,0.0957,12-Jan,Mon,0.1084,0,7
22,JG 1,Buck,11-Jan,0.1677,13-Jan,Tue,0.1701,0,7
23,JG 1,Rape,11-Jan,0.1297,13-Jan,Tue,.,1,5
24,JG 1,Mix,12-Jan,0.1835,14-Jan,Wed,0.1671,0,7
25,JG 1,Sun,13-Jan,0.0602,15-Jan,Thur,0.0718,0,7
26,JG 1,Buck,13-Jan,0.1816,15-Jan,Thur,0.1592,0,7
27,JG 1,Rape,14-Jan,0.1554,16-Jan,Fri,0.1329,0,7
28,JG 1,Mix,15-Jan,0.1831,17-Jan,Sat,0.1602,0,7
29,JG 1,Sun,15-Jan,0.1367,17-Jan,Sat,0.1391,0,7
30,JG 1,Buck,15-Jan,0.1294,17-Jan,Sat,.,1,0
31,JG 1,Rape,15-Jan,0.1078,17-Jan,Sat,.,1,6
32,JG 1,Mix,15-Jan,0.1177,17-Jan,Sat,0.1144,0,7
33,JG 1,Sun,16-Jan,0.1243,18-Jan,Sun,0.1323,0,7
34,JG 1,Buck,16-Jan,0.1549,18-Jan,Sun,0.1473,0,7
35,JG 1,Rape,16-Jan,0.1242,18-Jan,Sun,0.1245,0,7
36,JG 1,Mix,16-Jan,0.1967,18-Jan,Sun,0.1758,0,7
